sample_index,publication_id,reference_id,reference_order,pubmed_status,pmid,pubmed_doi,pubmed_title,pubmed_journal,pubmed_year,title_coverage,title_similarity,year_match,bdata,context
7743,1362300,25115853,13,no_match,,,,,,0.0,0.0,False,Thai J Obstet Gynaecol|2024|32|156|R||,"13. Phummanee R, Limruangrong P, Phahuwattanakorn W. The influence of types of gestational diabetes mellitus, self-management, social support, and risk perception on health-related quality of life in pregnant women with gestational diabetes mellitus. Thai J Obstet Gynaecol. 2024; 32(2): 156-64."
8100,1218161,19068734,44,no_match,,,,,,0.0,0.0,False,J Child Health Dis|2010|53|189|T||,"44.Ince T, Kondolot M, Yalçın SS, Yurdakök K. Breastfeeding consultation status of mothers. J Child Health Dis 2010;53:189-97."
8289,1261851,20586520,3,no_match,,,,,,0.0,0.0,False,Scholars Journal of Dental Sciences|2017|4|89|KV||,"3. Saikiran KV, Kamatham R, Saha A, et al. Homeopathy in Pediatric dentistry – A review Homeopathy in Pediatric dentistry – A review. Scholars Journal of Dental Sciences. 2017;4:89-92."
8504,1305625,22594665,32,no_match,,,,,,0.0,0.0,False,Int J Clin Exp Med|2017|10|3568|J||,"32. Lu J, Lv Y, Dai E, Liu Y, Gao H, Tsuji NM, et al. Profile and clinical relevance of autoantibodies in patients with chronic hepatitis B infection. Int J Clin Exp Med 2017;10:3568-74."
8700,1334596,24004626,9,no_match,,,,,,0.0,0.0,False,Uluslararası Yönetim Bilişim Sistemleri ve Bilgisayar Bilimleri Dergisi|2017|1|22|Bıkmaz||,"Bıkmaz, Z. (2017). Sağlık yönetimi bölümü öğrencilerinin mobil güvenlik farkındalığı ve dijital veri güvenliği farkındalıklarının belirlenmesi. Uluslararası Yönetim Bilişim Sistemleri ve Bilgisayar Bilimleri Dergisi, 1(1), 22-30. Retrieved from https://dergipark.org.tr/en/download/article-file/403970"
8718,1339113,24163472,8,no_match,,,,,,0.0,0.0,False,Res Rev J Med Health Sci|2017|6|1|M||,"Mujahid M, Ghani F. Cancer is a disorder or a survival mechanism: A review article. Res Rev J Med Health Sci 2017;6(2):1–7."
8726,1352751,24714261,22,possible,11053270,,Androgen influence on the meibomian gland.,Investigative ophthalmology & visual science,2000,1.0,1.0,False,Invest Ophthalmol Vis Sci|2000|41|3732|DA||,"Sullivan DA, Sullivan BD, Ullman MD, Rocha EM, Krenzer KL, Cermak JM, et al. Androgen influence on the meibomian gland. Invest Ophthalmol Vis Sci. 2000;41(12):3732-42. [PubMed]"
8730,1278960,21478475,32,no_match,,,,,,0.0,0.0,False,International Journal of Humanities and Social Science Invention|2017|6|10|Sü||,"Sü, S. (2017) Nursing students’ opinions regarding the nursing process. International Journal of Humanities and Social Science Invention, 6(5), 10-14. https://www.semanticscholar.org/feed/create."
8964,1369835,25904618,6,no_match,,,,,,0.0,0.0,False,? A Conceptual Review|2011|2011|5|K||,"6. Lee K, Smith R. What is' Global Health Diplomacy'? A Conceptual Review. Glob Health Gov. 2011;5.1-12."
9089,1241831,19748135,2,no_match,,,,,,0.0,0.0,False,"Formosa J Ment Health, 28: 3|2015|28|3|Chiang||","Chiang, C., Yang, S., & Hsu, W. (2015). Development and validation of the e-health literacy scale and investigation of the relationships between e-health literacy and healthy behavior among undergraduate students in Taiwan. Formosa J Ment Health, 28: 3, 389–420."
9099,1227776,19439048,10,no_match,,,,,,0.0,0.0,False,Hacettepe Journal of Health Administration|2009|11|201|Bilgili||,"Bilgili, E., & Ecevit, E. (2009). Problems related to asymmetric information in the health services market and proposed solutions. Hacettepe Journal of Health Administration, 11(2), 201-228."
9111,1332489,24688982,8,no_match,,,,,,0.0,0.0,False,Afr J Bus Manage|2011|5|4873|C-C||,"8. Wu C-C. The impact of hospital brand image on service quality, patient satisfaction and loyalty. Afr J Bus Manage. 2011;5:4873-82."
9724,1249569,20869935,16,no_match,,,,,,0.0,0.0,False,Selçuk Tıp Derg|2015|31|73|İ||,"16.Yılmaz İ, Güvenç O, Yılmaz FH, Çimen D, Arslan D, Oran B. Akut romatizmal ateş tanısı konulan hastaların klinik özellikleri ve ekokardiyografik bulguları. Selçuk Tıp Derg. 2015;31(2):73-76."
9760,1199498,17848704,35,possible,8543457,,Treating the love-sick patient.,The Israel journal of psychiatry and related sciences,1995,1.0,1.0,False,The Israel Journal of Psychiatry and Related Sciences|1995|32|167|Moss||,"Moss, E. (1995). Treating the love-sick patient. The Israel Journal of Psychiatry and Related Sciences, 32(3), 167-173."
