sample_index,publication_id,reference_id,reference_order,target_publication_id,reference_year,reference_journal_code,reference_authors,source_doi,hidden_doi,trdizin_status,target_doi,target_crossref_status,target_crossref_doi,target_title,target_year,target_journal,target_journal_code,target_issn,target_eissn,target_doc_type,request_error,context
6165,1323795,23548804,8,74253,2007,433,Şükrü BALCI,,,strong_trdizin_id,,no_doi,,Negatifsiyasal reklamlarda ikna edici mesaj stratejisi olarak korku çekiciliği kullanımı,2007,Selçuk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,433,1302-1796,2667-4750,PAPER,,"Balcı, Ş. (2007). Negatif siyasal reklamlarda ikna edici mesaj stratejisi olarak korku çekiciliği kullanımı. Selçuk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, 17, 73–106."
6171,1250297,20097041,21,229072,2016,821,Akif Mehmet KETENCİ; Esra SOYLU; Engin GÖNEN; Ercüment SOYUGÜZEL; Yusuf ÜSTÜN; Sedat BOYACI; Zekeriya ÖZGE; Servet TEKİN; Semih Metin SEZEN,,,strong_trdizin_id,,no_doi,,KahramanmaraşYöresinde Yaygın Olarak Kullanılan Damla Sulama Damlatıcılarının Hidrolik Özelliklerinin Değerlendirilmesi,2016,Kahramanmaraş Sütçü İmam Üniversitesi Doğa Bilimleri Dergisi,821,,1309-1743,PAPER,,"Tekin, S., Boyacı, S., Sezen, S. M., Gönen, E., Soylu, E., Soyugüzel, E., Üstün, Y., 2016. Kahramanmaraş Yöresinde Yaygın Olarak Kullanılan Damla Sulama Damlatıcılarının Hidrolik Özelliklerinin Değerlendirilmesi. Tarım ve Doğa Dergisi. 19(4): 445-453."
6176,1219622,19134272,18,237182,2016,638,Celal GÖLE; Hakan BİLGEÇ,,,strong_trdizin_id,,no_doi,,TİCARİİŞLETME İŞLETTİKLERİ HALDE TACİR SAYILMAYAN DERNEK VE VAKIFLARA İLİŞKİN DÜZENLEMENİN (TTK. m. 16/2) DEĞERLENDİRİLMESİ,2016,Banka ve Ticaret Hukuku Dergisi,638,1300-1396,,PAPER,,"Göle, Celal- Bilgeç, Hakan. “Ticari İşletme İşlettikleri Halde Tacir Sayılmayan Dernek ve Vakıflara İlişkin Düzenlemenin (TTK m. 16/2) Değerlendirilmesi”, Banka ve Ticaret Hukuku Dergisi XXXII/4 (2016), 5-22."
6272,1157027,16528401,35,171248,2013,537,Yunus Emre ÇEKİCİ; Faik KANATLI,,,strong_trdizin_id,,no_doi,,Türkçeöğretiminde disiplinler arası olanaklar,2013,Mersin Üniversitesi Eğitim Fakültesi Dergisi,537,1305-5429,1306-7850,PAPER,,"Kanatlı, F. ve Çekici, Y. E. (2013). Türkçe öğretiminde disiplinler arası olanaklar. Mersin Üniversitesi Eğitim Fakültesi Dergisi, 2, 223-234."
6391,1252299,20176856,35,100429,2009,603,Xiufeng LIU,,,strong_trdizin_id,,no_doi,,Beyondscience literacy: Science and the public,2009,International Journal of Environmental and Science Education (elektronik),603,1306-3065,,PAPER,,"Liu, X. (2009). Beyond Science Literacy: Science and the Public. International Journal of Environmental & Science Education. 4(3),301-311."
6418,1208159,18258036,56,73942,2008,405,M. Ensar YEŞİLYURT,,,strong_trdizin_id,,no_doi,,Türkiyeİmalat Sanayinde Mekansal Komşuluk İlişkileri,2008,Atatürk Üniversitesi İktisadi ve İdari Bilimler Dergisi,405,1300-4646,2147-7582,PAPER,,"Yeşilyurt, M. E. (2008). Türkiye imalat sanayinde mekansal komşuluk ilişkileri. Atatürk Üniversitesi İktisadi İdari Bilimler Fakültesi Dergisi, 22(1), 165-173."
6507,1299569,22348373,24,1259195,2023,527,Neslihan KARATAŞ DURMUŞ; İmran ARITI ERDEM,,,strong_trdizin_id,,no_doi,,Vergiİdaresi 3.0: Yapay Zekâ Perspektifinden Bir İnceleme,2023,Maliye Dergisi,527,1300-3623,2645-8780,PAPER,,"Karataş Durmuş N, ‘Vergi İdaresi 3.0. Yapay Zekâ Perspektifinden Bir İnceleme, Maliye Dergisi, (2023); 184:225-253"
6536,1343197,24337703,7,249659,2016,433,Mahmut Ünsal ŞAŞMAZ; Erhan GENÇ,,,strong_trdizin_id,,no_doi,,TakiptekiBanka Kredilerinin Makroekonomik Belirleyicileri: Ticari Krediler Örneği,2016,Selçuk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi,433,1302-1796,2667-4750,PAPER,,"Genç, E., & Şaşmaz, M. Ü. (2016). Takipteki banka kredilerinin makroekonomik belirleyicileri: Ticari krediler örneği. Selçuk Üniversitesi Sosyal Bilimler Enstitüsü Dergisi, (36), 119–129."
6725,1206605,18403831,73,203219,2016,425,Kubilay YAZICI,,,strong_trdizin_id,,no_doi,,YeniTürk Devletlerinin Posta Pullarında Türk Kimliği ve Kültürü,2016,Bilig / Türk Dünyası Sosyal Bilimler Dergisi,425,1301-0549,2822-6348,PAPER,,"Yazıcı, K. (2016). Yeni Türk devletlerinin posta pullarında Türk kimliği ve kültürü. Bilig, 77, 83-108."
6781,1264204,20673205,9,489562,2021,2116,Abdullah ALGIN; Şahin ÇOLAK; Nihat Müjdat HÖKENEK; Davut TEKYOL; İsmail TAYFUR; İbrahim ALTUNDAĞ; Ayşe YÜKSEL; Tuğçe ZENGİN,,,strong_doi_crossref,10.14744/hnhj.2019.83723,ok,10.14744/hnhj.2019.83723,Evaluationof Cases Applied to Emergency Service with Suspected Rabies Exposure in the Past Year,2021,Haydarpaşa Numune Medical Journal,2116,2630-5720,,PAPER,,"Tekyol D, Çolak Ş, Tayfur İ, et al. Evaluation of Cases Applied to Emergency Service with Suspected Rabies Exposure in the Past Year. Haydarpaşa Numune Medical Journal. 2021;61(2):123."
